0x8317b216D7c3F9a5B8401E4b6814D13A7BE390ec, EXNCE (XNC),tokens,Airdrop / Distributor,$0,1813
0x4572f2554421bd64bef1c22c8a81840e8d496bea,AirSwap,accounts,AirSwap,0 Ether,1148
0x27054b13b1b798b345b591a4d22e6562d47ea75a,AirSwap Token,accounts,AirSwap,0 Ether,88385
0x072073f78a2d58610ee3d5e170ca7ac9cb58a345,AirSwap: Delegate,accounts,AirSwap,0 Ether,271
0x7eeab4f134fcfa6fcaf3987d391f1d626f75f6e1,AirSwap: Deployer,accounts,AirSwap,0.6120262 Ether,148
0xba9ab9710bd461f30c247f4ca2cb7f453c22570e,AirSwap: Indexer,accounts,AirSwap,0 Ether,545
0x8fd3121013a07c57f0d69646e86e7a4880b467b7,AirSwap: Legacy,accounts,AirSwap,0 Ether,55807
0xebbd58cd1c31c08ef7a17337c264ba502762e993,AirSwap: MultiSig,accounts,AirSwap,0.019243 Ether,116
0x54d2690e97e477a4b33f40d6e4afdd4832c07c57,AirSwap: Old Contract,accounts,AirSwap,0 Ether,166
0xa42d613d8b8b6cb9507f46a5dd3fd98276570fd7,AirSwap: Types,accounts,AirSwap,0 Ether,1
0x28de5c5f56b6216441ee114e832808d5b9d4a775,AirSwap: Wrapper,accounts,AirSwap,0 Ether,777
0x27054b13b1b798b345b591a4d22e6562d47ea75a, AirSwap (AST),tokens,AirSwap,"$10,341,520",9497
0xdc1882f350b42ac9a23508996254b1915c78b204,Allbit 1,accounts,Allbit,0 Ether,21424
0xff6b1cdfd2d3e37977d7938aa06b6d89d6675e27,Allbit 2,accounts,Allbit,0 Ether,43087
0xd46ba6d942050d489dbd938a2c909a5d5039a161,Ampleforth Token,accounts,Ampleforth ,0 Ether,11708
0xf0d611b2610352600f7055e418e547e1c956c046,Ampleforth: Ecosystem Fund,accounts,Ampleforth ,1.92864999 Ether,51
0xbdb30cf89efdd8c7410d9b3d0de04bc41b962770,Ampleforth: Employee & Advisor Pool,accounts,Ampleforth ,0 Ether,15
0x89fe954538a92eca58adaec339ca6374af079a13,Ampleforth: Investor Pool,accounts,Ampleforth ,0 Ether,87
0xb22ed4bec314d475a8782e0b6869f0144d46859c,Ampleforth: Treasury,accounts,Ampleforth ,0 Ether,28
0xd46ba6d942050d489dbd938a2c909a5d5039a161, Ampleforth (AMPL),tokens,Ampleforth ,"$5,450,462",1972
0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098, SAN (SAN),tokens,Analytics,"$9,311,362",2273
0x2aec18c5500f21359ce1bea5dc1777344df4c0dc, FarmaTrust Token (FTT),tokens,Analytics,"$2,474,198",6171
0x420167d87d35c3a249b32ef6225872fbd9ab85d2, MESG (MESG),tokens,App Development,"$23,355",1444
